,video_id,video_title,upload_date,view_count,like_count,dislike_count,favorite_count,comment_count
55,M4shTrIgXs0,3 Simple Steps to Solve Noom SQL Interview Questions,2022-09-21,457,14,0,0,1
56,5Lpbw71xR3o,Framework to Solve Noom Advanced SQL Interview Question,2022-09-15,2547,84,0,0,2
57,gtHI672Tlbw,DoorDash Medium Level SQL Interview Question,2022-09-08,781,26,0,0,2
58,DmUR2QSNUq8,DoorDash Data Science SQL Interview Question Walkthrough,2022-09-07,2710,75,0,0,8
59,OLG6_EHMhFk,The One Thing That Keeps Data Scientists Up-to-date,2022-08-31,691,53,0,0,4
60,0EoaJE3ePcE,Use STRING_AGG Function to Solve SQL Questions,2022-08-25,3109,130,0,0,4
61,JDOAcKTy9Mk,Top 5 Data Science Project Ideas in 2022 to Stay Up To Date as a Data Scientist,2022-08-18,3620,175,0,0,10
62,o8cFJmI50Dw,STRING_AGG Function to Solve Data Science Interview Questions,2022-08-11,1941,63,0,0,8
63,ggZzHnzYH1s,How To Use Python Window Functions | Solving Amazon Data Science Interview Question,2022-08-03,3441,131,0,0,8
64,8zeLdtkY2CQ,Data Science Mock Interview | Salesforce SQL Coding Interview Question,2022-06-17,7041,195,0,0,22
65,tnoOz6MzTPg,Python cumsum() | Solving Python Optimization Questions On a Data Science Interview,2022-05-11,2794,86,0,0,13
66,OzyHfddLj9g,How to Solve a SQL Interview Question Using WHERE  HAVING | PayPal Data Science Interview,2022-04-13,7900,163,0,0,12
67,jN5hpgBrz8k,Dealing With Python Date Manipulations In a Meta/Facebook Data Science Interview Question,2022-03-22,5791,171,0,0,20
68,yFyyP_Uvxj0,How To Solve Data Science Probability Interview Questions | Meta/Facebook Example,2022-03-10,4530,137,0,0,4
69,Av92CaPTRr8,How to use SQL window functions: RANK vs DENSE_RANK in Data Science Interviews,2022-03-02,5527,136,0,0,8
70,VEjxlKBkZGM,Amazon Data Science Interview Question Walkthrough | How to Deal with Streaks in SQL,2022-02-08,10305,275,0,0,31
71,hMUf7DqG1nQ,SQL Basics: How to Join Multiple Tables in SQL and the Importance of LEFT JOIN vs INNER JOIN,2022-01-27,6570,130,0,0,8
72,ToEl_tpyoM4,Uber Data Science Python Interview Question Walkthrough,2022-01-10,21451,512,0,0,30
73,30hS-MjpU6E,SQL Syntax Best Practices: How to Structure Your SQL Code,2021-12-22,18012,723,0,0,51
74,Bgpp99iz0I0,Most Common Coding Mistakes on Data Science Interviews,2021-11-04,5311,226,0,0,31
75,GeJUvdkJKEc,Multiple Solutions to Data Scientist Interview Question From Amazon [Rolling Average],2021-10-11,11073,289,0,0,50
76,GGURenNfXI0,Multiple Approaches for Solving a Twitter Data Scientist Interview Question,2021-09-13,5888,213,0,0,36
77,PlpUo6bHsBQ,Advanced Facebook Data Science SQL interview question [RANK()],2021-08-09,28065,869,0,0,81
78,uY2wfR8Dkqo,5 Tips for a Successful Data Science Interview,2021-07-26,13150,309,0,0,40
79,yY7yau9j3xk,Data Science SQL Scenario Based Interview Question [Facebook] - Date Manipulation,2021-07-20,8252,197,0,0,32
80,i-E4pdU2qXM,Data Science SQL Interview Question Walkthrough [Microsoft] - Window Function: Ranking,2021-07-13,9483,347,0,0,25
81,T1UhSuKqy3A,Most Common Data Science SQL Interview Question from DoorDash [window functions  partitions],2021-06-15,16067,526,0,0,43
82,2iE3JgNTwVU,A Walkthrough of Data Science SQL Interview Question from Noom (Date Manipulations),2021-06-04,6171,191,0,0,30
83,RgKMbpEylWA,Comparing FAANG vs Non-FAANG Data Science Interview Questions,2021-05-24,3396,111,0,0,14
84,giGIPINLqJs,An Analysis of 900 Data Science Interview Questions | Data Science Interview Guide,2021-05-13,5087,221,0,0,13
85,77IVf0zgmwI,Importing a Pandas Dataframe to a Database in Python [For Your Data Science Project],2021-05-05,31506,964,0,0,103
86,xtbMCAVXDmU,Facebook and Microsoft Data Science SQL interview question walkthrough (advanced),2021-04-15,10927,322,0,0,61
87,fklHBWow8vE,Working with APIs in Python [For Your Data Science Project],2021-04-02,85948,3731,0,0,191
88,tNXliLTlrV8,Step-by-step Approach to Solving Any Data Science SQL Interview Question (Twitch),2021-03-24,13574,496,0,0,40
89,XRwxYOhHdE8,Facebook&#39;s Most Common Data Science SQL Interview Question [2021 Interview Question and Answer],2021-03-10,39186,975,0,0,63
90,pV_mnZgzXEo,"Coding Concepts in Data Science Interviews in 2021 (Facebook, Twitch, Postmates)",2021-03-03,6126,291,0,0,33
91,c4Af2FcgamA,The One and Only Data Science Project You Need,2021-02-24,272577,16230,0,0,334
